L1,ID1,L2,ID2
fireCompany,7X13X95,municipalCourt,1X7
fireCompany,6X3X96,municipalCourt,2X1
fireCompany,7X15X97,municipalCourt,2X1
fireCompany,1X1X1,municipalCourt,1X1
fireCompany,1X1X10,municipalCourt,1X1
fireCompany,11X32X101,municipalCourt,3X1
fireCompany,11X57X102,municipalCourt,3X2
fireCompany,11X57X102,municipalCourt,3X3
fireCompany,15X39X103,municipalCourt,3X7
fireCompany,11X35X104,municipalCourt,3X3
fireCompany,11X57X105,municipalCourt,3X1
fireCompany,11X57X105,municipalCourt,3X6
fireCompany,11X28X106,municipalCourt,3X3
fireCompany,15X39X107,municipalCourt,3X7
fireCompany,15X39X107,municipalCourt,4X3
fireCompany,11X35X108,municipalCourt,3X3
fireCompany,8X40X109,municipalCourt,3X5
fireCompany,1X4X11,municipalCourt,1X2
fireCompany,1X4X11,municipalCourt,1X4
fireCompany,11X31X110,municipalCourt,3X1
fireCompany,15X37X111,municipalCourt,3X2
fireCompany,15X37X111,municipalCourt,3X4
fireCompany,15X37X112,municipalCourt,3X7
fireCompany,15X38X113,municipalCourt,3X4
fireCompany,15X38X113,municipalCourt,3X6
fireCompany,8X40X114,municipalCourt,3X5
fireCompany,14X45X115,municipalCourt,4X1
fireCompany,14X45X116,municipalCourt,4X1
fireCompany,14X49X117,municipalCourt,4X1
fireCompany,14X49X117,municipalCourt,4X2
fireCompany,11X32X118,municipalCourt,3X1
fireCompany,11X31X119,municipalCourt,3X1
fireCompany,11X31X119,municipalCourt,3X2
fireCompany,11X31X119,municipalCourt,3X3
fireCompany,1X7X12,municipalCourt,1X3
fireCompany,1X7X12,municipalCourt,1X9
fireCompany,15X44X120,municipalCourt,3X4
fireCompany,13X47X121,municipalCourt,4X5
fireCompany,11X48X122,municipalCourt,3X5
fireCompany,15X38X123,municipalCourt,3X4
fireCompany,11X28X124,municipalCourt,3X3
fireCompany,11X28X124,municipalCourt,3X7
fireCompany,13X50X125,municipalCourt,4X4
fireCompany,13X50X125,municipalCourt,4X6
fireCompany,13X50X126,municipalCourt,4X3
fireCompany,13X50X126,municipalCourt,4X4
fireCompany,13X50X127,municipalCourt,4X4
fireCompany,14X45X128,municipalCourt,4X1
fireCompany,14X45X128,municipalCourt,4X2
fireCompany,14X52X129,municipalCourt,4X2
fireCompany,14X52X129,municipalCourt,4X6
fireCompany,3X10X13,municipalCourt,1X6
fireCompany,3X10X13,municipalCourt,1X9
fireCompany,14X52X130,municipalCourt,4X6
fireCompany,11X32X131,municipalCourt,3X1
fireCompany,15X38X132,municipalCourt,3X2
fireCompany,15X38X132,municipalCourt,3X4
fireCompany,15X38X132,municipalCourt,3X6
fireCompany,13X50X133,municipalCourt,4X4
fireCompany,13X47X134,municipalCourt,4X5
fireCompany,13X51X135,municipalCourt,4X3
fireCompany,14X46X136,municipalCourt,4X2
fireCompany,14X46X136,municipalCourt,4X3
fireCompany,13X47X137,municipalCourt,4X5
fireCompany,14X46X138,municipalCourt,4X2
fireCompany,14X46X138,municipalCourt,4X6
fireCompany,3X12X14,municipalCourt,1X8
fireCompany,3X12X14,municipalCourt,1X10
fireCompany,14X45X140,municipalCourt,4X3
fireCompany,13X51X142,municipalCourt,4X3
fireCompany,13X51X142,municipalCourt,4X4
fireCompany,13X51X143,municipalCourt,4X3
fireCompany,13X51X143,municipalCourt,4X4
fireCompany,14X52X144,municipalCourt,4X6
fireCompany,11X35X146,municipalCourt,3X3
fireCompany,15X41X147,municipalCourt,3X6
fireCompany,11X48X148,municipalCourt,3X5
fireCompany,8X42X149,municipalCourt,3X5
fireCompany,1X1X15,municipalCourt,1X1
fireCompany,13X54X150,municipalCourt,4X4
fireCompany,13X50X151,municipalCourt,4X2
fireCompany,13X50X151,municipalCourt,4X4
fireCompany,13X50X151,municipalCourt,4X6
